label	as_iri	issue_type	parent_id	parent_label	detail
anterior cervical intertransversarii muscle	https://purl.org/ccf/ASCTB-TEMP_anterior-cervical-intertransversarii-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
articularis genu muscle	https://purl.org/ccf/ASCTB-TEMP_articularis-genu-muscle	fma_parent	FMA:22424	Muscle of anterior compartment of thigh	Subagent should resolve FMA→UBERON via OLS4
aryepiglottic part of oblique arytenoid muscle	https://purl.org/ccf/ASCTB-TEMP_aryepiglottic-part-of-oblique-arytenoid-muscle	fma_parent	FMA:46583	Oblique arytenoid	Subagent should resolve FMA→UBERON via OLS4
dorsal part of intertransversarii laterales lumborum muscle	https://purl.org/ccf/ASCTB-TEMP_dorsal-part-of-intertransversarii-laterales-lumborum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_meningohypophyseal-artery	meningohypophyseal artery	Parent not yet in UBERON; subagent should search OLS4 for correct parent
dorsum of foot muscle	https://purl.org/ccf/ASCTB-TEMP_dorsum-of-foot-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inferior head of lateral pterygoid muscle	https://purl.org/ccf/ASCTB-TEMP_inferior-head-of-lateral-pterygoid-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_supraperiosteal-arteriole	supraperiosteal arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
intertransversarii laterales lumborum muscle	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
intrinsic eye muscle	https://purl.org/ccf/ASCTB-TEMP_intrinsic-eye-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_posterolateral-spinal-vein	posterolateral spinal vein	Parent not yet in UBERON; subagent should search OLS4 for correct parent
left crus of lumbar part of respiratory diaphragm muscle	https://purl.org/ccf/ASCTB-TEMP_left-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	fma_parent	FMA:323951	Pre-aortic thoracic lymph node group	Subagent should resolve FMA→UBERON via OLS4
levatores costarum breves of levator costarum muscle	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-breves-of-levator-costarum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_thoracic-wall-muscle	thoracic wall muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
levatores costarum longi of levator costarum muscle	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-longi-of-levator-costarum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_levator-costarum-muscle	levator costarum muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
longitudinal pharyngeal muscle	https://purl.org/ccf/ASCTB-TEMP_longitudinal-pharyngeal-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_vasa-recta-of-colon	vasa recta of colon	Parent not yet in UBERON; subagent should search OLS4 for correct parent
medial lumbar intertransversarii muscle	https://purl.org/ccf/ASCTB-TEMP_medial-lumbar-intertransversarii-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
medial posterior cervical intertransversarii muscle	https://purl.org/ccf/ASCTB-TEMP_medial-posterior-cervical-intertransversarii-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
occipital belly of occipitofrontalis muscle	https://purl.org/ccf/ASCTB-TEMP_occipital-belly-of-occipitofrontalis-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_neuromeningeal-trunk	neuromeningeal trunk	Parent not yet in UBERON; subagent should search OLS4 for correct parent
pelvic floor muscle	https://purl.org/ccf/ASCTB-TEMP_pelvic-floor-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_periductal-branch-of-lobular-artery-of-pancreas	periductal branch of lobular artery of pancreas	Parent not yet in UBERON; subagent should search OLS4 for correct parent
plantar interosseous muscle	https://purl.org/ccf/ASCTB-TEMP_plantar-interosseous-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen	sheathed capillary of spleen, Sheathed capillary of spleen	Parent not yet in UBERON; subagent should search OLS4 for correct parent
rectus capitius posterior minor muscle	https://purl.org/ccf/ASCTB-TEMP_rectus-capitius-posterior-minor-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_submucosal-artery-of-colon	submucosal artery of colon	Parent not yet in UBERON; subagent should search OLS4 for correct parent
rectus capitus anterior muscle	https://purl.org/ccf/ASCTB-TEMP_rectus-capitus-anterior-muscle	unknown_parent	UBERON:0001250, UBERON:0010400	red pulp of spleen, spleen trabecular vein	Unrecognised parent ID format
respiratory diaphragm muscle	https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	fma_parent	FMA:12252	Subclavian lymphatic trunk	Subagent should resolve FMA→UBERON via OLS4
right crus of lumbar part of respiratory diaphragm muscle	https://purl.org/ccf/ASCTB-TEMP_right-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	fma_parent	FMA:5841	Left lumbar lymphatic trunk	Subagent should resolve FMA→UBERON via OLS4
segmental back muscle	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_lobar-artery-of-spleen	lobar artery of spleen	Parent not yet in UBERON; subagent should search OLS4 for correct parent
splenius capitus muscle	https://purl.org/ccf/ASCTB-TEMP_splenius-capitus-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_spinotransversales-muscle	spinotransversales muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
sternal part of respiratory diaphragm muscle	https://purl.org/ccf/ASCTB-TEMP_sternal-part-of-respiratory-diaphragm-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	respiratory diaphragm muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
thoracic intertransversarii muscle	https://purl.org/ccf/ASCTB-TEMP_thoracic-intertransversarii-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
thyroepiglottic part of thyroarytenoid muscle	https://purl.org/ccf/ASCTB-TEMP_thyroepiglottic-part-of-thyroarytenoid-muscle	fma_parent	FMA:46588	Thyro-arytenoid	Subagent should resolve FMA→UBERON via OLS4
thyropharyngeal part of inferior pharyngeal constrictor muscle	https://purl.org/ccf/ASCTB-TEMP_thyropharyngeal-part-of-inferior-pharyngeal-constrictor-muscle	fma_parent	FMA:46623	Inferior pharyngeal constrictor	Subagent should resolve FMA→UBERON via OLS4
tibalis anterior muscle	https://purl.org/ccf/ASCTB-TEMP_tibalis-anterior-muscle	fma_parent	FMA:22472	Muscle of anterior compartment of leg	Subagent should resolve FMA→UBERON via OLS4
tibalis posterior muscle	https://purl.org/ccf/ASCTB-TEMP_tibalis-posterior-muscle	fma_parent	FMA:22474	Muscle of posterior compartment of leg	Subagent should resolve FMA→UBERON via OLS4
ventral part of intertransversarii laterales lumborum muscle	https://purl.org/ccf/ASCTB-TEMP_ventral-part-of-intertransversarii-laterales-lumborum-muscle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
